time,cpuusage
1621673928,0.017702136
1621673929,0.017703221
1621673930,0.017703414
1621673931,0.017703473
1621673932,0.60144
1621673933,0.60144
1621673934,0.60144
1621673935,0.60144
1621673936,0.60144
1621673937,0.60144
1621673938,0.60144
1621673939,0.017704434
1621673940,0.017704685
1621673941,0.0177047
1621673942,0.017704756
1621673943,0.017704813
1621673944,0.01770523
1621673945,0.017705416
1621673946,0.017705525
1621673947,0.017705585
1621673949,0.017705773
1621673950,0.017705697
1621673951,0.017705665
1621673952,0.017706078
1621673953,0.017707294
1621673954,0.017707756
1621673955,0.017707725
1621673956,0.017707649
1621673957,0.017707705
1621673958,0.017707761
1621673959,0.017707911
1621673960,0.017708105
1621673961,0.017708252
1621673962,0.017708353
1621673963,0.017708288
1621673964,0.017708434
1621673965,0.017708716
1621673966,0.017708686
1621673967,0.017708742
1621673968,0.0177088
1621673969,0.017708901
1621673970,0.017708916
1621673972,0.017708979
1621673973,0.017709424
1621673974,0.017710949
1621673975,0.017712126
1621673976,0.017713389
1621673977,0.017714653
1621673978,0.017715829
1621673979,0.017717354
1621673980,0.017718661
1621673981,0.017719837
1621673982,0.01772097
1621673983,0.017722146
1621673984,0.017723192
1621673985,0.017724412
1621673986,0.017726416
1621673987,0.017727723
1621673988,0.017729161
1621673989,0.017730293
1621673990,0.017731775
1621673991,0.017731775
1621673992,0.017734694
1621673993,0.017735696
1621673995,0.01773709
1621673996,0.017738832
1621673997,0.017740096
1621673998,0.017741011
1621673999,0.017741969
1621674000,0.017743189
1621674001,0.017744278
1621674002,0.017745716
1621674003,0.017746979
1621674004,0.017748112
1621674005,0.017749288
1621674006,0.017750464
1621674007,0.232345
1621674008,0.232345
1621674009,0.232345
1621674010,0.232345
1621674011,0.232345
1621674012,0.232345
1621674013,0.232345
1621674014,0.232345
1621674015,0.232345
1621674016,0.232345
1621674017,0.232345
1621674019,0.232345
1621674020,0.232345
1621674021,0.232345
1621674022,0.232345
1621674023,0.232345
1621674024,0.232345
1621674025,0.232345
1621674026,0.232345
1621674027,0.232345
1621674028,0.232345
1621674029,0.232345
1621674030,0.232345
1621674031,0.232345
1621674032,0.232345
1621674033,0.232345
1621674034,0.232345
1621674035,0.232345
1621674036,0.232345
1621674037,0.232345
1621674038,0.232345
1621674039,0.232345
1621674040,0.232345
1621674041,0.232345
1621674042,0.232345
1621674044,0.232345
1621674045,0.232345
1621674046,0.232345
1621674047,0.232345
1621674048,0.232345
1621674049,0.232345
1621674050,0.232345
1621674051,0.232345
1621674052,0.232345
1621674053,0.232345
1621674054,0.232345
1621674055,0.232345
1621674056,0.232345
1621674057,0.232345
1621674058,0.232345
1621674059,0.232345
1621674060,0.232345
1621674061,0.232345
1621674062,0.232345
1621674063,0.232345
1621674064,0.232345
1621674065,0.232345
1621674066,0.232345
1621674067,0.232345
1621674068,0.232345
1621674069,0.232345
1621674070,0.232345
1621674072,0.232345
1621674073,0.232345
1621674074,0.232345
1621674075,0.232345
1621674076,0.232345
1621674077,0.232345
1621674078,0.232345
1621674079,0.232345
1621674080,0.232345
1621674081,0.232345
1621674082,0.232345
1621674083,0.232345
1621674084,0.232345
1621674085,0.232345
1621674086,0.232345
1621674087,0.232345
1621674088,0.232345
1621674089,0.232345
1621674090,0.232345
1621674091,0.232345
1621674092,0.232345
1621674093,0.232345
1621674094,0.232345
1621674096,0.232345
1621674097,0.232345
1621674098,0.232345
1621674099,0.232345
1621674100,0.232345
1621674101,0.232345
1621674102,0.232345
1621674103,0.232345
1621674104,0.232345
1621674105,0.232345
1621674106,0.232345
1621674107,0.232345
1621674108,0.232345
1621674109,0.232345
1621674110,0.232345
1621674111,0.232345
1621674112,0.232345
1621674113,0.232345
1621674114,0.232345
1621674115,0.232345
1621674116,0.232345
1621674117,0.232345
1621674118,0.232345
1621674119,0.232345
1621674120,0.232345
1621674122,0.232345
1621674123,0.232345
1621674124,0.232345
